userId,todoId,eventDateKey,deadlineKey,estimatedMinutes,eacDateKey_at_event,minutes_before_7d_avg,minutes_after_7d_avg,delta_minutes_7d,pace7d_at_event,spi_at_event,hasPlan_at_event,planContainsThisTodo_at_event,notes
fPbo8M5sYpP78kgIe8EzCDRC7LI2,DLa6J3QrOMP5qsguLnP9,2026-01-01,2026-01-08,90,2026-01-09,1.4285714285714286,,,10,1,false,false,
fPbo8M5sYpP78kgIe8EzCDRC7LI2,sfMGjQuuQRSJdQCd7vrE,2025-12-30,2025-12-31,90,2026-01-04,5,0,-5,5,0.4,false,false,
fPbo8M5sYpP78kgIe8EzCDRC7LI2,uwcyljgurC5sziRtbVrZ,2025-12-26,2025-12-28,1200,2025-12-30,94.28571428571429,70,-24.285714285714292,111.42857142857143,0.8,true,true,
DgApBqtxpeVE5G5MnIVw9ThpyN93,TFAHg9ifnIGNyRcmpJ0d,2025-12-18,2025-12-23,120,2025-12-24,9.285714285714286,0,-9.285714285714286,9.285714285714286,1.01,true,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,ZlWil5p9azRqUuuaB3Ao,2025-12-21,2025-12-31,1800,2026-01-07,60,125.71428571428571,65.71428571428571,77.14285714285714,0.67,true,true,
DgApBqtxpeVE5G5MnIVw9ThpyN93,ZlWil5p9azRqUuuaB3Ao,2025-12-28,2025-12-31,1800,2026-01-01,142.85714285714286,95,-47.85714285714286,125.71428571428571,1.32,true,true,
DgApBqtxpeVE5G5MnIVw9ThpyN93,aQInLuXM80dQeHCpz6vs,2025-11-29,2025-12-01,720,2025-12-02,42.857142857142854,60,17.142857142857146,150,1.07,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,qqno5R8Kz2aCKyUhqk3A,2025-11-26,2025-11-27,90,2025-11-28,5.857142857142857,0,-5.857142857142857,41,1.67,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,tPXrO3CZIJuRff9TO5GJ,2025-12-22,2025-12-25,180,2025-12-26,5.714285714285714,19.285714285714285,13.57142857142857,40,1.14,true,true,
DgApBqtxpeVE5G5MnIVw9ThpyN93,x7uE0iDGeYN6TmRupn7j,2025-10-08,2025-12-26,15000,2026-03-25,60,88.57142857142857,28.57142857142857,85.71428571428571,0.48,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,x7uE0iDGeYN6TmRupn7j,2025-10-28,2025-12-26,15000,2026-01-02,81.42857142857143,42.857142857142854,-38.57142857142858,195,0.92,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,x7uE0iDGeYN6TmRupn7j,2025-11-07,2025-12-26,15000,2026-02-14,85.71428571428571,25.714285714285715,-59.99999999999999,120,0.51,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,x7uE0iDGeYN6TmRupn7j,2025-11-12,2025-12-26,15000,2026-01-07,77.14285714285714,51.42857142857143,-25.714285714285708,210,0.81,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,2025-11-28,2026-02-14,6000,2026-03-23,21.428571428571427,8.571428571428571,-12.857142857142856,34.285714285714285,0.69,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,2025-12-15,2026-02-14,6000,2026-08-29,0,11.428571428571429,11.428571428571429,15,0.24,false,false,
DgApBqtxpeVE5G5MnIVw9ThpyN93,z9XUnwd3xaYvPsdWjTGO,2025-12-24,2025-12-31,180,2026-01-01,2.857142857142857,0,-2.857142857142857,20,1,true,false,
qEvovKzp9yTvyfV3IGR9OUERHbk1,rvaGIeyV6UNCA6n6OuHY,2025-12-03,2025-12-31,1800,2026-01-01,8.571428571428571,0,-8.571428571428571,60,1,false,false,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,5KxoVTiwYbl1q6tepu0D,2025-11-13,2025-11-13,90,2025-11-14,10,2.857142857142857,-7.142857142857142,70,3.5,false,false,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,8EG6pfoqRVbf5f1AEiFQ,2025-10-27,2025-10-28,90,2025-10-29,4.285714285714286,0,-4.285714285714286,30,1,false,false,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,8oAxKzrYkvwqxEfsZHA9,2025-10-22,2025-10-22,30,2025-10-23,2.142857142857143,0,-2.142857142857143,15,1,false,false,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,FrKR9YHUny2uhjQreXpe,2025-11-21,2025-11-21,30,2025-11-22,2.142857142857143,0,-2.142857142857143,15,1,false,false,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,RzRotmx1X9OzjqCFdaCU,2025-11-28,2025-12-20,720,2025-12-26,17.142857142857142,19.428571428571427,2.2857142857142847,21.142857142857142,0.85,false,false,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,RzRotmx1X9OzjqCFdaCU,2025-12-02,2025-12-20,720,2025-12-21,27.571428571428573,3,-24.571428571428573,23.285714285714285,1.01,false,false,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,lqCBwiCkScW35IeAr3Ed,2025-12-30,2025-12-31,90,2026-01-01,4.285714285714286,0,-4.285714285714286,30,1,true,true,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,svlldaMpB3qqDi5jO463,2025-12-26,2025-12-26,90,2025-12-27,8.571428571428571,0.8333333333333334,-7.738095238095238,30,1,true,true,
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,uQW6hsvE1slri1CR9ckl,2025-11-23,2025-11-23,120,2025-11-24,8.571428571428571,8.571428571428571,0,60,1,false,false,
AJEH3V05QuRj9WkQva2LM8EO3vt2,coQ7j50RsA9aYNNSHzXI,2025-12-30,2025-12-31,90,2026-01-01,4.285714285714286,0,-4.285714285714286,30,1,false,false,
